,Condition,Freeze,KeepTrain,Performance
314,Normal,No Freeze,0,0.5001000165939331
315,Grow,Freeze,0,0.4546999931335449
316,NoGrow,Freeze,0,0.4483000040054321
317,Normal,Freeze,0,0.4916000068187714
318,Grow,No Freeze,0,0.4738999903202057
319,NoGrow,No Freeze,0,0.4713999927043915
320,Normal,No Freeze,0,0.4984999895095825
321,Grow,Freeze,0,0.4555000066757202
322,NoGrow,Freeze,0,0.4498000144958496
323,Normal,Freeze,0,0.491100013256073
324,Grow,No Freeze,0,0.4745000004768372
325,NoGrow,No Freeze,0,0.4724000096321106
326,Normal,No Freeze,0,0.5128999948501587
327,Grow,Freeze,0,0.4659999907016754
328,NoGrow,Freeze,0,0.4620999991893768
329,Normal,Freeze,0,0.5149999856948853
330,Grow,No Freeze,0,0.4781000018119812
331,NoGrow,No Freeze,0,0.4986999928951264
332,Normal,No Freeze,0,0.5081999897956848
333,Grow,Freeze,0,0.4593000113964081
334,NoGrow,Freeze,0,0.4611000120639801
335,Normal,Freeze,0,0.4988000094890594
336,Grow,No Freeze,0,0.4855999946594238
337,NoGrow,No Freeze,0,0.4769999980926514
338,Normal,No Freeze,0,0.4959000051021576
339,Grow,Freeze,0,0.4629999995231629
340,NoGrow,Freeze,0,0.44999998807907104
341,Normal,Freeze,0,0.5022000074386597
342,Grow,No Freeze,0,0.4952000081539154
343,NoGrow,No Freeze,0,0.4704000055789948
344,Normal,No Freeze,0,0.5006999969482422
345,Grow,Freeze,0,0.4528000056743622
346,NoGrow,Freeze,0,0.432099997997284
347,Normal,Freeze,0,0.513700008392334
348,Grow,No Freeze,0,0.4923999905586242
349,NoGrow,No Freeze,0,0.4828000068664551
350,Normal,No Freeze,0,0.4941999912261963
351,Grow,Freeze,0,0.4449999928474426
352,NoGrow,Freeze,0,0.4456000030040741
353,Normal,Freeze,0,0.5105999708175659
354,Grow,No Freeze,0,0.4729999899864197
355,NoGrow,No Freeze,0,0.4981000125408173
356,Normal,No Freeze,0,0.5020999908447266
357,Grow,Freeze,0,0.4587000012397766
358,NoGrow,Freeze,0,0.4471000134944916
359,Normal,Freeze,0,0.505299985408783
360,Grow,No Freeze,0,0.4722999930381775
361,NoGrow,No Freeze,0,0.4871000051498413
362,Normal,No Freeze,0,0.5083000063896179
363,Grow,Freeze,0,0.4280000030994415
364,NoGrow,Freeze,0,0.4348999857902527
365,Normal,Freeze,0,0.5077000260353088
366,Grow,No Freeze,0,0.4873999953269959
367,NoGrow,No Freeze,0,0.4900000095367432
368,Normal,No Freeze,0,0.5048000216484071
369,Grow,Freeze,0,0.4420999884605408
370,NoGrow,Freeze,0,0.4503999948501587
371,Normal,Freeze,0,0.5127000212669373
372,Grow,No Freeze,0,0.4855000078678131
373,NoGrow,No Freeze,0,0.478300005197525
374,Normal,No Freeze,0,0.5166000127792358
375,Grow,Freeze,0,0.4781000018119812
376,NoGrow,Freeze,0,0.4584000110626221
377,Normal,Freeze,0,0.4925999939441681
378,Grow,No Freeze,0,0.4839000105857849
379,NoGrow,No Freeze,0,0.4754000008106232
380,Normal,No Freeze,0,0.5112000107765198
381,Grow,Freeze,0,0.4569000005722046
382,NoGrow,Freeze,0,0.4131000041961671
383,Normal,Freeze,0,0.5013999938964844
384,Grow,No Freeze,0,0.4878999888896942
385,NoGrow,No Freeze,0,0.4855000078678131
386,Normal,No Freeze,0,0.4925000071525574
387,Grow,Freeze,0,0.4618000090122223
388,NoGrow,Freeze,0,0.4406999945640564
389,Normal,Freeze,0,0.5044000148773193
390,Grow,No Freeze,0,0.4700999855995178
391,NoGrow,No Freeze,0,0.5005000233650208
392,Normal,No Freeze,0,0.4988000094890594
393,Grow,Freeze,0,0.4503999948501587
394,NoGrow,Freeze,0,0.44600000977516174
395,Normal,Freeze,0,0.5105999708175659
396,Grow,No Freeze,0,0.4577000141143799
397,NoGrow,No Freeze,0,0.4995999932289124
398,Normal,No Freeze,0,0.499099999666214
399,Grow,Freeze,0,0.4550999999046326
400,NoGrow,Freeze,0,0.4530999958515167
401,Normal,Freeze,0,0.5134999752044678
402,Grow,No Freeze,0,0.4796999990940094
403,NoGrow,No Freeze,0,0.4916000068187714
404,Normal,No Freeze,0,0.4914000034332275
405,Grow,Freeze,0,0.4205000102519989
406,NoGrow,Freeze,0,0.4476000070571899
407,Normal,Freeze,0,0.4914000034332275
408,Grow,No Freeze,0,0.4661999940872192
409,NoGrow,No Freeze,0,0.4961000084877014
410,Normal,No Freeze,0,0.5016000270843506
411,Grow,Freeze,0,0.4611000120639801
412,NoGrow,Freeze,0,0.4505000114440918
413,Normal,Freeze,0,0.4905000030994415
414,Grow,No Freeze,0,0.4844000041484833
415,NoGrow,No Freeze,0,0.4828999936580658
416,Normal,No Freeze,0,0.5101000070571899
417,Grow,Freeze,0,0.47920000553131104
418,NoGrow,Freeze,0,0.4586000144481659
419,Normal,Freeze,0,0.4925999939441681
420,Grow,No Freeze,0,0.4869999885559082
421,NoGrow,No Freeze,0,0.4916999936103821
422,Normal,No Freeze,0,0.5030999779701233
423,Grow,Freeze,0,0.451200008392334
424,NoGrow,Freeze,0,0.4541999995708466
425,Normal,Freeze,0,0.5127000212669373
426,Grow,No Freeze,0,0.49380001425743103
427,NoGrow,No Freeze,0,0.489300012588501
428,Normal,No Freeze,0,0.5009999871253967
429,Grow,Freeze,0,0.4683000147342682
430,NoGrow,Freeze,0,0.4447000026702881
431,Normal,Freeze,0,0.5116000175476074
432,Grow,No Freeze,0,0.4787000119686127
433,NoGrow,No Freeze,0,0.4898000061511994
434,Normal,No Freeze,0,0.507099986076355
435,Grow,Freeze,0,0.4571999907493591
436,NoGrow,Freeze,0,0.4316999912261963
437,Normal,Freeze,0,0.5029000043869019
438,Grow,No Freeze,0,0.4738999903202057
439,NoGrow,No Freeze,0,0.4905000030994415
440,Normal,No Freeze,0,0.4977999925613403
441,Grow,Freeze,0,0.4305000007152557
442,NoGrow,Freeze,0,0.4404999911785126
443,Normal,Freeze,0,0.4905000030994415
444,Grow,No Freeze,0,0.4875999987125397
445,NoGrow,No Freeze,0,0.4819999933242798
446,Normal,No Freeze,0,0.4930000007152557
447,Grow,Freeze,0,0.42989999055862427
448,NoGrow,Freeze,0,0.4264999926090241
449,Normal,Freeze,0,0.5073000192642212
450,Grow,No Freeze,0,0.4745000004768372
451,NoGrow,No Freeze,0,0.4880000054836273
452,Normal,No Freeze,0,0.506600022315979
453,Grow,Freeze,0,0.4440000057220459
454,NoGrow,Freeze,0,0.455700010061264
455,Normal,Freeze,0,0.4966000020503998
456,Grow,No Freeze,0,0.4921999871730805
457,NoGrow,No Freeze,0,0.46369999647140503
458,Normal,No Freeze,0,0.5038999915122986
459,Grow,Freeze,0,0.455700010061264
460,NoGrow,Freeze,0,0.4650999903678894
461,Normal,Freeze,0,0.4814000129699707
462,Grow,No Freeze,0,0.4763000011444092
463,NoGrow,No Freeze,0,0.4704999923706055
464,Normal,No Freeze,0,0.4954000115394592
465,Grow,Freeze,0,0.4483999907970429
466,NoGrow,Freeze,0,0.4568000137805938
467,Normal,Freeze,0,0.5020999908447266
468,Grow,No Freeze,0,0.4855000078678131
469,NoGrow,No Freeze,0,0.490200012922287
470,Normal,No Freeze,0,0.4936999976634979
471,Grow,Freeze,0,0.4602000117301941
472,NoGrow,Freeze,0,0.4593999981880188
473,Normal,Freeze,0,0.4918999969959259
474,Grow,No Freeze,0,0.4805000126361847
475,NoGrow,No Freeze,0,0.4799000024795532
476,Normal,No Freeze,0,0.4986000061035156
477,Grow,Freeze,0,0.456499993801117
478,NoGrow,Freeze,0,0.4548999965190888
479,Normal,Freeze,0,0.499099999666214
480,Grow,No Freeze,0,0.4927000105381012
481,NoGrow,No Freeze,0,0.4909999966621399
482,Normal,No Freeze,0,0.482699990272522
483,Grow,Freeze,0,0.4551999866962433
484,NoGrow,Freeze,0,0.4431000053882599
485,Normal,Freeze,0,0.4909999966621399
486,Grow,No Freeze,0,0.4781999886035919
487,NoGrow,No Freeze,0,0.4708999991416931
488,Normal,No Freeze,0,0.4867999851703644
489,Grow,Freeze,0,0.4440000057220459
490,NoGrow,Freeze,0,0.4404999911785126
491,Normal,Freeze,0,0.4964999854564667
492,Grow,No Freeze,0,0.4616000056266785
493,NoGrow,No Freeze,0,0.4828999936580658
494,Normal,No Freeze,0,0.4957000017166138
495,Grow,Freeze,0,0.4695000052452088
496,NoGrow,Freeze,0,0.44040000438690186
497,Normal,Freeze,0,0.5091999769210815
498,Grow,No Freeze,0,0.4785000085830689
499,NoGrow,No Freeze,0,0.4828999936580658
500,Normal,No Freeze,0,0.5008999705314636
501,Grow,Freeze,0,0.4724000096321106
502,NoGrow,Freeze,0,0.4699999988079071
